,dft,c,bv,ang
ig_61.vasp,-4642.6216365,320,0.57957,34
ig_62.vasp,-4642.58301521,336,0.64789,32
ig_63.vasp,-4642.57200183,340,0.63601,32
ig_64.vasp,-4642.6260553,324,0.59991,30
ig_65.vasp,-4642.59330012,340,0.6269,30
ig_66.vasp,-4642.69148277,316,0.53142,26
ig_67.vasp,-4642.59659908,336,0.63906,34
ig_68.vasp,-4642.65024286,316,0.55886,32
ig_69.vasp,-4642.60229927,332,0.63172,32
ig_70.vasp,-4642.56103729,324,0.61682,38
ig_71.vasp,-4642.64829517,324,0.58641,30
ig_72.vasp,-4642.60091711,332,0.61661,30
ig_73.vasp,-4642.57091272,332,0.62534,32
ig_74.vasp,-4642.662352,324,0.58633,28
ig_75.vasp,-4642.63006082,320,0.59053,33
ig_76.vasp,-4642.51506006,348,0.69302,36
ig_77.vasp,-4642.64607678,320,0.57644,32
ig_78.vasp,-4642.59255978,320,0.62237,32
ig_79.vasp,-4642.59384745,336,0.61221,30
ig_80.vasp,-4642.6344898,328,0.603,30
ig_81.vasp,-4642.65467784,320,0.55533,30
ig_82.vasp,-4642.64235112,320,0.58282,32
ig_83.vasp,-4642.62254799,320,0.60345,32
ig_84.vasp,-4642.65758567,316,0.57688,32
ig_85.vasp,-4642.59349822,328,0.65157,34
ig_86.vasp,-4642.65553878,316,0.57703,32
ig_87.vasp,-4642.61280178,324,0.62102,32
ig_88.vasp,-4642.6340084,324,0.59621,32
ig_89.vasp,-4642.58344965,332,0.65136,34
ig_90.vasp,-4642.66579407,324,0.54897,26
ig_91.vasp,-4642.57737117,344,0.63353,32
ig_92.vasp,-4642.65679101,320,0.56218,28
ig_93.vasp,-4642.60312419,324,0.62557,34
ig_94.vasp,-4642.53582613,348,0.6655,34
ig_95.vasp,-4642.57243633,340,0.66989,34
ig_96.vasp,-4642.60658281,328,0.63745,32
ig_97.vasp,-4642.65064823,320,0.57845,28
ig_98.vasp,-4642.54875733,344,0.68588,32
ig_99.vasp,-4642.67271283,320,0.58026,28
ig_100.vasp,-4642.52308552,328,0.65387,34
ig_101.vasp,-4642.58503783,340,0.67708,30
ig_102.vasp,-4642.64447254,324,0.59934,30
ig_103.vasp,-4642.64707144,320,0.57583,32
ig_104.vasp,-4642.66848233,312,0.52152,34
ig_105.vasp,-4642.64457114,320,0.5638,32
ig_106.vasp,-4642.58797821,328,0.61465,32
ig_107.vasp,-4642.61925178,324,0.6228,32
ig_108.vasp,-4642.60540622,332,0.62552,30
ig_109.vasp,-4642.60815459,328,0.64709,32
ig_110.vasp,-4642.58368374,324,0.58325,30
ig_111.vasp,-4642.58140145,328,0.60653,32
ig_112.vasp,-4642.65918831,316,0.54228,32
ig_113.vasp,-4642.57408873,328,0.63312,34
ig_114.vasp,-4642.64814472,316,0.5737,30
ig_115.vasp,-4642.6150439,324,0.59298,32
ig_116.vasp,-4642.63532941,324,0.61599,30
ig_117.vasp,-4642.61206274,324,0.60216,32
ig_118.vasp,-4642.57622713,332,0.65008,34
ig_119.vasp,-4642.65179308,320,0.58814,30
ig_120.vasp,-4642.64734604,324,0.58058,30
ig_121.vasp,-4642.61283599,328,0.59748,32
ig_122.vasp,-4642.62439676,324,0.61481,32
ig_123.vasp,-4642.63266042,324,0.62792,30
ig_124.vasp,-4642.57731904,328,0.62673,35
ig_125.vasp,-4642.57737118,344,0.63353,32
ig_126.vasp,-4642.61323755,332,0.61369,32
ig_127.vasp,-4642.64453046,320,0.61079,32
ig_128.vasp,-4642.55766986,320,0.6473,36
ig_129.vasp,-4642.6218928,328,0.58234,30
ig_130.vasp,-4642.63575376,320,0.58383,32
ig_131.vasp,-4642.52129722,344,0.68463,33
ig_132.vasp,-4642.57091274,332,0.62534,32
ig_133.vasp,-4642.67147318,316,0.55828,30
ig_134.vasp,-4642.65006727,324,0.59336,30
ig_135.vasp,-4642.64705624,324,0.56877,28
ig_136.vasp,-4642.64683166,324,0.62306,30
ig_137.vasp,-4642.65158901,328,0.58275,28
ig_138.vasp,-4642.67587138,316,0.53076,30
ig_139.vasp,-4642.52305337,332,0.66697,38
ig_140.vasp,-4642.54820478,344,0.65319,34
ig_141.vasp,-4642.63696943,324,0.60637,30
ig_142.vasp,-4642.64438551,320,0.59043,32
ig_143.vasp,-4642.61616487,328,0.58693,32
ig_144.vasp,-4642.61561534,332,0.62472,30
ig_145.vasp,-4642.65071199,320,0.59933,30
ig_146.vasp,-4642.62653501,324,0.6034,30
ig_147.vasp,-4642.58558223,336,0.62701,32
ig_148.vasp,-4642.6706912,324,0.5818,28
ig_149.vasp,-4642.6123491,328,0.63754,30
ig_150.vasp,-4642.60990434,328,0.60357,32
ig_151.vasp,-4642.59157636,332,0.62075,32
ig_152.vasp,-4642.67943358,316,0.53733,28
ig_153.vasp,-4642.62186571,328,0.61876,32
ig_154.vasp,-4642.6351205,324,0.59421,28
ig_155.vasp,-4642.62936381,328,0.60875,30
ig_156.vasp,-4642.64861039,316,0.54367,34
ig_157.vasp,-4642.61323937,316,0.57875,36
ig_158.vasp,-4642.60815434,328,0.6471,32
ig_159.vasp,-4642.49192605,336,0.70847,38
ig_160.vasp,-4642.59029117,324,0.61885,34
ig_161.vasp,-4642.6026922,332,0.62242,32
ig_162.vasp,-4642.56048271,332,0.66449,34
ig_163.vasp,-4642.57015745,324,0.65304,34
ig_164.vasp,-4642.64724916,324,0.55547,28
ig_165.vasp,-4642.60739784,316,0.58747,30
ig_166.vasp,-4642.64590342,316,0.57122,30
ig_167.vasp,-4642.57568544,336,0.6389,32
ig_168.vasp,-4642.65920117,316,0.59368,30
ig_169.vasp,-4642.58640606,320,0.63781,32
ig_170.vasp,-4642.63862818,324,0.58752,30
ig_171.vasp,-4642.6221123,328,0.60916,32
ig_172.vasp,-4642.63933225,320,0.58742,32
ig_173.vasp,-4642.64442131,324,0.58404,30
ig_174.vasp,-4642.66365123,324,0.59071,28
ig_175.vasp,-4642.6439541,328,0.5754,28
ig_176.vasp,-4642.56551322,340,0.6301,32
ig_177.vasp,-4642.63825254,324,0.57807,32
ig_178.vasp,-4642.61592263,332,0.59616,32
ig_179.vasp,-4642.68905281,320,0.55302,26
ig_180.vasp,-4642.59145403,336,0.60964,32
ig_181.vasp,-4642.66281146,316,0.55612,30
ig_182.vasp,-4642.6841726,320,0.57411,28
ig_183.vasp,-4642.58541284,336,0.63112,32
ig_184.vasp,-4642.65481539,324,0.56214,30
ig_185.vasp,-4642.66053448,316,0.5679,32
ig_186.vasp,-4642.6343505,324,0.58428,30
ig_187.vasp,-4642.56075084,332,0.6346,34
ig_188.vasp,-4642.58682374,332,0.62252,32
ig_189.vasp,-4642.62736216,320,0.59384,32
ig_190.vasp,-4642.65158105,320,0.56804,28
ig_191.vasp,-4642.59158467,332,0.61085,32
ig_192.vasp,-4642.63277882,324,0.59845,30
ig_193.vasp,-4642.6755368,320,0.56704,28
ig_194.vasp,-4642.63610031,324,0.58958,30
ig_195.vasp,-4642.58590569,336,0.62592,32
ig_196.vasp,-4642.66200611,320,0.55574,28
ig_197.vasp,-4642.63256589,328,0.58174,28
ig_198.vasp,-4642.54758527,332,0.66663,36
ig_199.vasp,-4642.6769422,320,0.53941,26
ig_200.vasp,-4642.60295174,336,0.61712,32
ig_201.vasp,-4642.52879528,328,0.6428,35
ig_202.vasp,-4642.57935243,332,0.64102,34
ig_203.vasp,-4642.61716035,328,0.63884,30
ig_204.vasp,-4642.56026243,340,0.64563,34
ig_205.vasp,-4642.58858333,336,0.62985,32
ig_206.vasp,-4642.68700464,316,0.54135,26
ig_207.vasp,-4642.63731921,324,0.59723,30
ig_208.vasp,-4642.65515185,320,0.55337,32
ig_209.vasp,-4642.65022496,324,0.594,30
ig_210.vasp,-4642.540797,348,0.65232,34
ig_211.vasp,-4642.63177337,320,0.60679,32
ig_212.vasp,-4642.57116813,320,0.62642,33
ig_213.vasp,-4642.61340711,336,0.61014,30
ig_214.vasp,-4642.61023033,328,0.62265,36
ig_215.vasp,-4642.61071801,324,0.61964,32
ig_216.vasp,-4642.60002823,320,0.589,34
ig_217.vasp,-4642.60459382,328,0.62556,32
ig_218.vasp,-4642.61477828,336,0.61367,30
ig_219.vasp,-4642.659677,316,0.57867,28
ig_220.vasp,-4642.61635127,332,0.62225,30
ig_221.vasp,-4642.68394995,312,0.54576,30
ig_222.vasp,-4642.6238979,324,0.58629,34
ig_223.vasp,-4642.65217256,324,0.60047,30
ig_224.vasp,-4642.64123453,324,0.61104,30
ig_225.vasp,-4642.64097968,324,0.60218,30
ig_226.vasp,-4642.58206414,340,0.65257,32
ig_227.vasp,-4642.66527121,320,0.58851,28
ig_228.vasp,-4642.63691196,320,0.61503,32
ig_229.vasp,-4642.63910204,320,0.58021,30
ig_230.vasp,-4642.57977595,332,0.64162,32
ig_231.vasp,-4642.63232108,324,0.64079,30
ig_232.vasp,-4642.6305385,324,0.6207,30
ig_233.vasp,-4642.63714784,320,0.58636,32
ig_234.vasp,-4642.52926336,344,0.68157,36
ig_235.vasp,-4642.62871291,324,0.59774,30
ig_236.vasp,-4642.59330011,340,0.6269,30
ig_237.vasp,-4642.56507989,336,0.64107,34
ig_238.vasp,-4642.59384745,336,0.61221,30
ig_239.vasp,-4642.64006739,320,0.58497,30
ig_240.vasp,-4642.61305657,332,0.63867,32
ig_241.vasp,-4642.62281723,324,0.62855,32
